name,CAS,Quantity,Value,Units,Method,Reference,Comment
trans-Decalin,493-02-7,Ttriple,242.7700,K,N/A,"McCullough, Finke, et al., 1957",Uncertainty assigned by TRC =  0.05 K;TRC
trans-Decalin,493-02-7,Ttriple,242.4,K,N/A,"Parks and Hatton, 1949",Uncertainty assigned by TRC =  0.2 K;TRC
trans-Decalin,493-02-7,Quantity,Value,Units,Method,Reference,Comment
trans-Decalin,493-02-7,Tc,687. ± 3.,K,N/A,"Daubert, 1996",
trans-Decalin,493-02-7,Tc,960.15,K,N/A,"Cheng, McCoubrey, et al., 1962",Uncertainty assigned by TRC =  1.3 K; extrapolated to zero time to correct for decomposition cal. vs NPL thermometer;TRC
trans-Decalin,493-02-7,Quantity,Value,Units,Method,Reference,Comment
trans-Decalin,493-02-7,ΔvapH°,48.5 ± 2.1,kJ/mol,V,"Speros and Rossini, 1960",ALS
trans-Decalin,493-02-7,ΔvapH°,48.5,kJ/mol,N/A,"Speros and Rossini, 1960",DRB
trans-Decalin,493-02-7,ΔvapH°,42.84,kJ/mol,C,"Glaser and Ruland, 1957",ALS
trans-Decalin,493-02-7,Quantity,Value,Units,Method,Reference,Comment
trans-Decalin,493-02-7,ΔsubH°,64.3,kJ/mol,H,"Bondi, 1963","See alsoChickos, Hosseini, et al., 1993.;AC"
cis-Decalin,493-01-6,Tboil,466. ± 5.,K,AVG,N/A,Average of 15 values;Individual data points
cis-Decalin,493-01-6,Quantity,Value,Units,Method,Reference,Comment
cis-Decalin,493-01-6,Tfus,230. ± 2.,K,AVG,N/A,Average of 12 out of 14 values;Individual data points
cis-Decalin,493-01-6,Quantity,Value,Units,Method,Reference,Comment
cis-Decalin,493-01-6,Ttriple,230.15 ± 0.09,K,AVG,N/A,Average of 6 values;Individual data points
cis-Decalin,493-01-6,Quantity,Value,Units,Method,Reference,Comment
cis-Decalin,493-01-6,Tc,704. ± 3.,K,N/A,"Daubert, 1996",
cis-Decalin,493-01-6,Tc,681.,K,N/A,"Matzik and Schneider, 1985",Uncertainty assigned by TRC =  1.5 K;TRC
cis-Decalin,493-01-6,Tc,705.0,K,N/A,"Pak and Kay, 1972",Uncertainty assigned by TRC =  1. K; extrapolated to zero time to correct for decomposition;TRC
cis-Decalin,493-01-6,Tc,702.2,K,N/A,"Cheng, McCoubrey, et al., 1962",Uncertainty assigned by TRC =  1.5 K; extrapolated to zero time to correct for decomposition; calibr. vs NPL thermometer;TRC
cis-Decalin,493-01-6,Quantity,Value,Units,Method,Reference,Comment
cis-Decalin,493-01-6,Pc,32. ± 2.,bar,N/A,"Daubert, 1996",
cis-Decalin,493-01-6,Pc,24.90,bar,N/A,"Matzik and Schneider, 1985",Uncertainty assigned by TRC =  0.50 bar;TRC
cis-Decalin,493-01-6,Pc,32.07,bar,N/A,"Pak and Kay, 1972","Uncertainty assigned by TRC =  0.2068 bar; corrected for vapor pressure of Hg, and extrapolated to zero time to correct for decompostion;TRC"
cis-Decalin,493-01-6,Quantity,Value,Units,Method,Reference,Comment
cis-Decalin,493-01-6,ΔvapH°,50.2 ± 2.1,kJ/mol,V,"Speros and Rossini, 1960",ALS
cis-Decalin,493-01-6,ΔvapH°,50.3,kJ/mol,N/A,"Speros and Rossini, 1960",DRB
cis-Decalin,493-01-6,Quantity,Value,Units,Method,Reference,Comment
cis-Decalin,493-01-6,ΔsubH°,62.5,kJ/mol,H,"Bondi, 1963","See alsoChickos, Hosseini, et al., 1993.;AC"
Bicyclohexyl,92-51-3,Tboil,508. ± 10.,K,AVG,N/A,Average of 8 values;Individual data points
Bicyclohexyl,92-51-3,Quantity,Value,Units,Method,Reference,Comment
Bicyclohexyl,92-51-3,Tfus,276.9 ± 0.4,K,AVG,N/A,Average of 11 values;Individual data points
Bicyclohexyl,92-51-3,Quantity,Value,Units,Method,Reference,Comment
Bicyclohexyl,92-51-3,Ttriple,276.9,K,N/A,"Pilcher, 1957",Uncertainty assigned by TRC =  0.002 K;TRC
Bicyclohexyl,92-51-3,Quantity,Value,Units,Method,Reference,Comment
Bicyclohexyl,92-51-3,ΔvapH°,57.98,kJ/mol,N/A,"Majer and Svoboda, 1985",
Bicyclohexyl,92-51-3,ΔvapH°,58.0 ± 0.3,kJ/mol,C,"Montgomery, Rossini, et al., 1978",ALS
Bicyclohexyl,92-51-3,ΔvapH°,58.0,kJ/mol,N/A,"Montgomery, Rossini, et al., 1978",DRB
Bicyclohexyl,92-51-3,ΔvapH°,58.0 ± 0.2,kJ/mol,C,"Montgomery, Rossini, et al., 1978",AC
Benzene,71-43-2,Tboil,353.3 ± 0.1,K,AVG,N/A,Average of 147 out of 183 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,Tfus,278.64 ± 0.08,K,AVG,N/A,Average of 57 out of 69 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,Ttriple,278.5 ± 0.6,K,AVG,N/A,Average of 9 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,Tc,562.0 ± 0.8,K,AVG,N/A,Average of 36 out of 41 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,Pc,48.9 ± 0.4,bar,AVG,N/A,Average of 24 out of 26 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,Vc,0.25 ± 0.03,l/mol,AVG,N/A,Average of 6 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,ρc,3.9 ± 0.2,mol/l,AVG,N/A,Average of 12 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,ΔvapH°,33.9 ± 0.1,kJ/mol,AVG,N/A,Average of 10 out of 11 values;Individual data points
Benzene,71-43-2,Quantity,Value,Units,Method,Reference,Comment
Benzene,71-43-2,ΔsubH°,44.4,kJ/mol,"TE,ME","Kruif, 1980",Based on data from 183. to 197. K.;AC
Toluene,108-88-3,Tboil,383.8 ± 0.2,K,AVG,N/A,Average of 110 out of 132 values;Individual data points
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,Tfus,178.1 ± 0.6,K,AVG,N/A,Average of 24 out of 25 values;Individual data points
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,Ttriple,178.15,K,N/A,"Scott, Guthrie, et al., 1962",Uncertainty assigned by TRC =  0.05 K;TRC
Toluene,108-88-3,Ttriple,178.00,K,N/A,"Ziegler and Andrews, 1942",Uncertainty assigned by TRC =  0.2 K;TRC
Toluene,108-88-3,Ttriple,177.9,K,N/A,"Stull, 1937",Uncertainty assigned by TRC =  0.2 K;TRC
Toluene,108-88-3,Ttriple,177.95,K,N/A,"Kelley, 1929",Uncertainty assigned by TRC =  0.02 K;TRC
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,Tc,593. ± 2.,K,AVG,N/A,Average of 20 values;Individual data points
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,Pc,41. ± 1.,bar,AVG,N/A,Average of 11 values;Individual data points
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,Vc,0.316,l/mol,N/A,"Tsonopoulos and Ambrose, 1995",
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,ρc,3.17 ± 0.010,mol/l,N/A,"Tsonopoulos and Ambrose, 1995",
Toluene,108-88-3,ρc,3.16,mol/l,N/A,"Chirico and Steele, 1994",Uncertainty assigned by TRC =  0.04 mol/l;TRC
Toluene,108-88-3,ρc,3.15,mol/l,N/A,"Goodwin, 1989",Uncertainty assigned by TRC =  0.05 mol/l;TRC
Toluene,108-88-3,ρc,3.16,mol/l,N/A,"Steele, Chirico, et al., 1988",Uncertainty assigned by TRC =  0.05 mol/l;TRC
Toluene,108-88-3,ρc,3.162,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.05 mol/l;TRC
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,ΔvapH°,37. ± 3.,kJ/mol,AVG,N/A,Average of 9 values;Individual data points
Toluene,108-88-3,Quantity,Value,Units,Method,Reference,Comment
Toluene,108-88-3,ΔsubH°,43.1,kJ/mol,B,"Lenchitz and Velicky, 1970",AC
Ethylbenzene,100-41-4,Tboil,409.3 ± 0.4,K,AVG,N/A,Average of 79 out of 96 values;Individual data points
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,Tfus,179. ± 2.,K,AVG,N/A,Average of 15 out of 16 values;Individual data points
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,Ttriple,178.15,K,N/A,"Scott and Brickwedde, 1945",Uncertainty assigned by TRC =  0.02 K;TRC
Ethylbenzene,100-41-4,Ttriple,178.,K,N/A,"Huffman, Parks, et al., 1930",Uncertainty assigned by TRC =  0.3 K;TRC
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,Tc,617. ± 2.,K,AVG,N/A,Average of 10 values;Individual data points
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,Pc,36.4 ± 0.9,bar,AVG,N/A,Average of 6 values;Individual data points
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,Vc,0.374,l/mol,N/A,"Tsonopoulos and Ambrose, 1995",
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,ρc,2.68 ± 0.010,mol/l,N/A,"Tsonopoulos and Ambrose, 1995",
Ethylbenzene,100-41-4,ρc,2.670,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.04 mol/l;TRC
Ethylbenzene,100-41-4,Quantity,Value,Units,Method,Reference,Comment
Ethylbenzene,100-41-4,ΔvapH°,41. ± 4.,kJ/mol,AVG,N/A,Average of 7 values;Individual data points
o-Xylene,95-47-6,Tboil,417. ± 2.,K,AVG,N/A,Average of 50 out of 51 values;Individual data points
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,Tfus,248. ± 2.,K,AVG,N/A,Average of 12 out of 13 values;Individual data points
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,Ttriple,247.8,K,N/A,"Huffman, Parks, et al., 1930",Uncertainty assigned by TRC =  0.25 K;TRC
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,Tc,631. ± 3.,K,AVG,N/A,Average of 11 out of 12 values;Individual data points
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,Pc,37. ± 5.,bar,AVG,N/A,Average of 7 values;Individual data points
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,Vc,0.370,l/mol,N/A,"Tsonopoulos and Ambrose, 1995",
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,ρc,2.70 ± 0.04,mol/l,N/A,"Tsonopoulos and Ambrose, 1995",
o-Xylene,95-47-6,ρc,2.699,mol/l,N/A,"Akhundov and Imanov, 1970",Uncertainty assigned by TRC =  0.05 mol/l;TRC
o-Xylene,95-47-6,ρc,2.710,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.04 mol/l;TRC
o-Xylene,95-47-6,Quantity,Value,Units,Method,Reference,Comment
o-Xylene,95-47-6,ΔvapH°,42. ± 5.,kJ/mol,AVG,N/A,Average of 9 values;Individual data points
m-Xylene,108-38-3,Tboil,412.3 ± 0.3,K,AVG,N/A,Average of 39 out of 42 values;Individual data points
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,Tfus,225. ± 4.,K,AVG,N/A,Average of 8 values;Individual data points
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,Ttriple,219.6,K,N/A,"Huffman, Parks, et al., 1930",Uncertainty assigned by TRC =  0.3 K;TRC
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,Tc,618. ± 4.,K,AVG,N/A,Average of 9 values;Individual data points
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,Pc,35.4 ± 0.4,bar,N/A,"Tsonopoulos and Ambrose, 1995",
m-Xylene,108-38-3,Pc,35.412,bar,N/A,"Ambrose, 1987",Uncertainty assigned by TRC =  0.05 bar;TRC
m-Xylene,108-38-3,Pc,35.41,bar,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.06 bar;TRC
m-Xylene,108-38-3,Pc,33.4373,bar,N/A,"Glaser and Ruland, 1957",Uncertainty assigned by TRC =  1.5199 bar;TRC
m-Xylene,108-38-3,Pc,35.10,bar,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  0.0392 bar;TRC
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,Vc,0.375,l/mol,N/A,"Tsonopoulos and Ambrose, 1995",
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,ρc,2.67 ± 0.04,mol/l,N/A,"Tsonopoulos and Ambrose, 1995",
m-Xylene,108-38-3,ρc,2.684,mol/l,N/A,"Akhundov and Asadullaeva, 1968",Uncertainty assigned by TRC =  0.05 mol/l;TRC
m-Xylene,108-38-3,Quantity,Value,Units,Method,Reference,Comment
m-Xylene,108-38-3,ΔvapH°,41. ± 5.,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
p-Xylene,106-42-3,Tboil,411.4 ± 0.5,K,AVG,N/A,Average of 59 out of 65 values;Individual data points
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,Tfus,286.3 ± 0.2,K,AVG,N/A,Average of 18 out of 21 values;Individual data points
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,Ttriple,286.400,K,N/A,"Messerly, Finke, et al., 1988",Uncertainty assigned by TRC =  0.01 K;TRC
p-Xylene,106-42-3,Ttriple,286.3,K,N/A,"Huffman, Parks, et al., 1930",Uncertainty assigned by TRC =  0.3 K;TRC
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,Tc,617. ± 3.,K,AVG,N/A,Average of 12 values;Individual data points
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,Pc,35. ± 2.,bar,AVG,N/A,Average of 6 values;Individual data points
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,Vc,0.378,l/mol,N/A,"Tsonopoulos and Ambrose, 1995",
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,ρc,2.65 ± 0.02,mol/l,N/A,"Tsonopoulos and Ambrose, 1995",
p-Xylene,106-42-3,ρc,2.661,mol/l,N/A,"Akhundov and Imanov, 1970",Uncertainty assigned by TRC =  0.05 mol/l;TRC
p-Xylene,106-42-3,ρc,2.644,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.04 mol/l;TRC
p-Xylene,106-42-3,Quantity,Value,Units,Method,Reference,Comment
p-Xylene,106-42-3,ΔvapH°,42. ± 4.,kJ/mol,AVG,N/A,Average of 14 values;Individual data points
Styrene,100-42-5,Tboil,419. ± 2.,K,AVG,N/A,Average of 18 out of 19 values;Individual data points
Styrene,100-42-5,Quantity,Value,Units,Method,Reference,Comment
Styrene,100-42-5,Tfus,240. ± 30.,K,AVG,N/A,Average of 10 values;Individual data points
Styrene,100-42-5,Quantity,Value,Units,Method,Reference,Comment
Styrene,100-42-5,Ttriple,242.47,K,N/A,"Pitzer, Guttman, et al., 1946",Uncertainty assigned by TRC =  0.07 K;TRC
Styrene,100-42-5,Ttriple,242.47,K,N/A,"Guttman, Westrum, et al., 1943",Uncertainty assigned by TRC =  0.1 K;TRC
Styrene,100-42-5,Ttriple,242.47,K,N/A,"Guttman, 1943",Uncertainty assigned by TRC =  0.1 K; temperature scale based on To = 273.16 K;TRC
Styrene,100-42-5,Quantity,Value,Units,Method,Reference,Comment
Styrene,100-42-5,ΔvapH°,43.93 ± 0.42,kJ/mol,V,"Pitzer, Guttman, et al., 1946, 2",ALS
Styrene,100-42-5,ΔvapH°,43.9,kJ/mol,N/A,"Pitzer, Guttman, et al., 1946, 3",Based on data from 285. to 333. K.;AC
Styrene,100-42-5,ΔvapH°,43.5 ± 0.4,kJ/mol,N/A,"Pitzer, Guttman, et al., 1946, 3",AC
Styrene,100-42-5,ΔvapH°,43.5,kJ/mol,N/A,"Prosen and Rossini, 1945",DRB
Styrene,100-42-5,ΔvapH°,43.2,kJ/mol,N/A,"Patnode and Scheiber, 1939",Based on data from 245. to 357. K.;AC
Propylbenzene,103-65-1,Tboil,432. ± 2.,K,AVG,N/A,Average of 41 out of 46 values;Individual data points
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,Tfus,173. ± 2.,K,AVG,N/A,Average of 16 values;Individual data points
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,Ttriple,173.59,K,N/A,"Messerly, Todd, et al., 1965",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.01 K;TRC
Propylbenzene,103-65-1,Ttriple,171.6,K,N/A,"Messerly, Todd, et al., 1965",Metastable crystal phase; Uncertainty assigned by TRC =  0.01 K;TRC
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,Tc,638.4 ± 0.1,K,N/A,"Tsonopoulos and Ambrose, 1995",
Propylbenzene,103-65-1,Tc,638.24,K,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.1 K;TRC
Propylbenzene,103-65-1,Tc,638.36,K,N/A,"Ambrose, Cox, et al., 1960","Uncertainty assigned by TRC =  0.3 K; Visual, PRT, IPTS-48;TRC"
Propylbenzene,103-65-1,Tc,639.2,K,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.4 K;TRC
Propylbenzene,103-65-1,Tc,638.8,K,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  0.6 K;TRC
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,Pc,32.00 ± 0.10,bar,N/A,"Tsonopoulos and Ambrose, 1995",
Propylbenzene,103-65-1,Pc,32.00,bar,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.06 bar;TRC
Propylbenzene,103-65-1,Pc,31.70,bar,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  0.049 bar;TRC
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,Vc,0.440,l/mol,N/A,"Tsonopoulos and Ambrose, 1995",
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,ρc,2.27 ± 0.010,mol/l,N/A,"Tsonopoulos and Ambrose, 1995",
Propylbenzene,103-65-1,ρc,2.269,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.03 mol/l;TRC
Propylbenzene,103-65-1,Quantity,Value,Units,Method,Reference,Comment
Propylbenzene,103-65-1,ΔvapH°,46.0 ± 0.8,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
Isopropylbenzene,98-82-8,Tboil,425. ± 1.,K,AVG,N/A,Average of 58 out of 64 values;Individual data points
Isopropylbenzene,98-82-8,Quantity,Value,Units,Method,Reference,Comment
Isopropylbenzene,98-82-8,Tfus,177.0 ± 0.7,K,AVG,N/A,Average of 13 values;Individual data points
Isopropylbenzene,98-82-8,Quantity,Value,Units,Method,Reference,Comment
Isopropylbenzene,98-82-8,Ttriple,177.13,K,N/A,"Kishimoto, Suga, et al., 1973",Uncertainty assigned by TRC =  0.01 K;TRC
Isopropylbenzene,98-82-8,Quantity,Value,Units,Method,Reference,Comment
Isopropylbenzene,98-82-8,Tc,631.0 ± 0.5,K,N/A,"Tsonopoulos and Ambrose, 1995",
Isopropylbenzene,98-82-8,Tc,631.1,K,N/A,"Ambrose and Grant, 1957",Uncertainty assigned by TRC =  0.15 K;TRC
Isopropylbenzene,98-82-8,Tc,624.55,K,N/A,"Glaser and Ruland, 1957",Uncertainty assigned by TRC =  2. K;TRC
Isopropylbenzene,98-82-8,Tc,635.9,K,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  4. K;TRC
Isopropylbenzene,98-82-8,Quantity,Value,Units,Method,Reference,Comment
Isopropylbenzene,98-82-8,Pc,32.1 ± 0.4,bar,N/A,"Tsonopoulos and Ambrose, 1995",
Isopropylbenzene,98-82-8,Pc,32.09,bar,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.06 bar;TRC
Isopropylbenzene,98-82-8,Pc,27.8644,bar,N/A,"Glaser and Ruland, 1957",Uncertainty assigned by TRC =  1.5199 bar;TRC
Isopropylbenzene,98-82-8,Pc,31.60,bar,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  0.0588 bar;TRC
Isopropylbenzene,98-82-8,Quantity,Value,Units,Method,Reference,Comment
Isopropylbenzene,98-82-8,ρc,2.32,mol/l,N/A,"Hales and Townsend, 1972",Uncertainty assigned by TRC =  0.008 mol/l; from fit of obs data to 490 K to Rideal's equation;TRC
Isopropylbenzene,98-82-8,Quantity,Value,Units,Method,Reference,Comment
Isopropylbenzene,98-82-8,ΔvapH°,44. ± 5.,kJ/mol,AVG,N/A,Average of 9 values;Individual data points
"1,2,3-Trimethylbenzene",526-73-8,Tboil,449.2 ± 0.2,K,AVG,N/A,Average of 24 out of 29 values;Individual data points
"1,2,3-Trimethylbenzene",526-73-8,Quantity,Value,Units,Method,Reference,Comment
"1,2,3-Trimethylbenzene",526-73-8,Tfus,247.7 ± 0.2,K,AVG,N/A,Average of 13 values;Individual data points
"1,2,3-Trimethylbenzene",526-73-8,Quantity,Value,Units,Method,Reference,Comment
"1,2,3-Trimethylbenzene",526-73-8,Ttriple,247.81,K,N/A,"Taylor, Johnson, et al., 1955",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.05 K;TRC
"1,2,3-Trimethylbenzene",526-73-8,Ttriple,247.800,K,N/A,"Kilpatrick, 1953",Uncertainty assigned by TRC =  0.05 K;TRC
"1,2,3-Trimethylbenzene",526-73-8,Quantity,Value,Units,Method,Reference,Comment
"1,2,3-Trimethylbenzene",526-73-8,Tc,664.5 ± 0.5,K,N/A,"Tsonopoulos and Ambrose, 1995",
"1,2,3-Trimethylbenzene",526-73-8,Tc,665.50,K,N/A,"Kay and Pak, 1980",Uncertainty assigned by TRC =  1.5 K;TRC
"1,2,3-Trimethylbenzene",526-73-8,Tc,664.39,K,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.1 K;TRC
"1,2,3-Trimethylbenzene",526-73-8,Tc,664.5,K,N/A,"Ambrose, Cox, et al., 1960","Uncertainty assigned by TRC =  0.3 K; Visual, PRT, IPTS-48;TRC"
"1,2,3-Trimethylbenzene",526-73-8,Quantity,Value,Units,Method,Reference,Comment
"1,2,3-Trimethylbenzene",526-73-8,Pc,34.5 ± 0.4,bar,N/A,"Tsonopoulos and Ambrose, 1995",
"1,2,3-Trimethylbenzene",526-73-8,Pc,34.426,bar,N/A,"Kay and Pak, 1980",Uncertainty assigned by TRC =  0.50 bar;TRC
"1,2,3-Trimethylbenzene",526-73-8,Pc,34.54,bar,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.06 bar;TRC
"1,2,3-Trimethylbenzene",526-73-8,Quantity,Value,Units,Method,Reference,Comment
"1,2,3-Trimethylbenzene",526-73-8,ΔvapH°,49.0 ± 0.2,kJ/mol,AVG,N/A,Average of 7 values;Individual data points
"1,2,4-Trimethylbenzene",95-63-6,Tboil,442.4 ± 0.8,K,AVG,N/A,Average of 32 out of 33 values;Individual data points
"1,2,4-Trimethylbenzene",95-63-6,Quantity,Value,Units,Method,Reference,Comment
"1,2,4-Trimethylbenzene",95-63-6,Tfus,227. ± 5.,K,AVG,N/A,Average of 14 out of 15 values;Individual data points
"1,2,4-Trimethylbenzene",95-63-6,Quantity,Value,Units,Method,Reference,Comment
"1,2,4-Trimethylbenzene",95-63-6,Ttriple,229.330,K,N/A,"Putnam and Kilpatrick, 1957",Uncertainty assigned by TRC =  0.03 K;TRC
"1,2,4-Trimethylbenzene",95-63-6,Ttriple,228.6,K,N/A,"Huffman, Parks, et al., 1931",Uncertainty assigned by TRC =  0.3 K;TRC
"1,2,4-Trimethylbenzene",95-63-6,Quantity,Value,Units,Method,Reference,Comment
"1,2,4-Trimethylbenzene",95-63-6,Tc,650. ± 30.,K,AVG,N/A,Average of 8 values;Individual data points
"1,2,4-Trimethylbenzene",95-63-6,Quantity,Value,Units,Method,Reference,Comment
"1,2,4-Trimethylbenzene",95-63-6,Pc,31. ± 9.,bar,AVG,N/A,Average of 7 values;Individual data points
"1,2,4-Trimethylbenzene",95-63-6,Quantity,Value,Units,Method,Reference,Comment
"1,2,4-Trimethylbenzene",95-63-6,ΔvapH°,47. ± 6.,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
"1,3,5-Trimethylbenzene",108-67-8,Tboil,437.8 ± 0.8,K,AVG,N/A,Average of 48 out of 54 values;Individual data points
"1,3,5-Trimethylbenzene",108-67-8,Quantity,Value,Units,Method,Reference,Comment
"1,3,5-Trimethylbenzene",108-67-8,Tfus,225. ± 8.,K,AVG,N/A,Average of 21 out of 22 values;Individual data points
"1,3,5-Trimethylbenzene",108-67-8,Quantity,Value,Units,Method,Reference,Comment
"1,3,5-Trimethylbenzene",108-67-8,Ttriple,228.42,K,N/A,"Taylor and Kilpatrick, 1955",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.01 K;TRC
"1,3,5-Trimethylbenzene",108-67-8,Quantity,Value,Units,Method,Reference,Comment
"1,3,5-Trimethylbenzene",108-67-8,Tc,639. ± 4.,K,AVG,N/A,Average of 8 values;Individual data points
"1,3,5-Trimethylbenzene",108-67-8,Quantity,Value,Units,Method,Reference,Comment
"1,3,5-Trimethylbenzene",108-67-8,Pc,31.3 ± 0.4,bar,N/A,"Tsonopoulos and Ambrose, 1995",
"1,3,5-Trimethylbenzene",108-67-8,Pc,31.619,bar,N/A,"Kay and Pak, 1980","Uncertainty assigned by TRC =  0.0031 bar; Visual, Table 2, mercury interface at room temperature.;TRC"
"1,3,5-Trimethylbenzene",108-67-8,Pc,32.55,bar,N/A,"Kay and Pak, 1980","Uncertainty assigned by TRC =  0.0032 bar; Visual, Table 2, mercury interface at sample tempera;TRC"
"1,3,5-Trimethylbenzene",108-67-8,Pc,31.27,bar,N/A,"Ambrose, Broderick, et al., 1967",Uncertainty assigned by TRC =  0.06 bar;TRC
"1,3,5-Trimethylbenzene",108-67-8,Pc,32.60,bar,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  0.0981 bar;TRC
"1,3,5-Trimethylbenzene",108-67-8,Quantity,Value,Units,Method,Reference,Comment
"1,3,5-Trimethylbenzene",108-67-8,ΔvapH°,47.51 ± 0.07,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
